Tela,Componente,Metodo,Endpoint,Payload_Query_Exibicao,Observacoes
/login,CardInputLogin,POST,/api/authentication/login,"email, password","Sucesso: token; redirect /dashboard"
/login,ConfirmeEmail,-,-,Mensagem e-mail nao confirmado,Resposta API especifica
/login,EsqueciSenha,POST,/api/authentication/forgot,userEmail,
/cadastro,CardInputCadastro,POST,/api/authentication/register,"email, password",Validar senhas iguais
/cadastro,ObrigadoPorSeCadastrar,-,-,Feedback pos-cadastro,
/redefinir-senha,page.tsx,PUT,/api/authentication/forgot/update (URL absoluta no codigo),"idToken, newPassword",Query token obrigatorio
/dashboard,dashboard/page.tsx,GET,/auth/api/dashboard/categories,Bearer,Lista categorias
/dashboard,dashboard/page.tsx,GET,/auth/api/motivation/dreams/visionbord/generate,Bearer,urlVisionBord
/dashboard,BotaoDashVerDatalhesCategoria,-,-,localStorage categoriaAtual,Push /dashboard/categoria
/dashboard/categoria,page.tsx,GET,/auth/api/dashboard/category/objectives/{id},Bearer,Lê categoriaAtual
/dashboard/categoria,page.tsx,-,-,"categoryName, description, objectives",Editar objetivo -> /desculpa (placeholder)
/dashboard/categoria/objetivo,page.tsx,-,-,objetivoAtual localStorage,Analises e graficos
/dashboard/categoria/objetivo,GraficoMotivosTarefas,GET,/auth/api/dashboard/cancellation-reason?idObjective=,Query idObjective,
/dashboard/categoria/objetivo,Jarvas,GET,/auth/api/user/neurokeys,Bearer,Saldo
/dashboard/categoria/objetivo,Jarvas,DELETE,/auth/api/user/neurokeys,Bearer,Consumo
/dashboard/categoria/objetivo,Jarvas,POST,/auth/api/dashboard/ia,Body Objective completo,Resposta IA markdown
/objetivos,page.tsx,GET,/auth/api/objectives/user,Bearer,Filtro todos
/objetivos,page.tsx,GET,/auth/api/objectives/status/todo/user,Bearer,Em progresso
/objetivos,page.tsx,GET,/auth/api/objectives/status/done/user,Bearer,Concluidos
/objetivos,AdicionarNovoObjetivo,POST,/auth/api/objectives,"nameObjective, descriptionObjective",
/objetivos,AdicionarNovaCategoria,POST,/auth/api/categories,"categoryName, categoryDescription",
/objetivos,AdicionarNovaCategoria,POST,/auth/api/categories/objective,"idCategory, idObjective",Por objetivo selecionado
/objetivos,AdicionarNovaCategoria,GET,/auth/api/objectives/user,Bearer,Lista para vincular
/objetivos,EditarObjetivo,PUT,/auth/api/objectives/{id},"nameObjective, descriptionObjective",
/objetivos,EditarObjetivo,PATCH,/auth/api/objectives/{id}/{data},Path data YYYY-MM-DD,Concluir
